"extension","keyword","description","parms_form","answer_form","n_fields"
"ardwrd3","STRead","Initialize stumps within root disease areas of the stand.  These stumps will serve as inoculum sources from which infection will spread.","","STRead    !1,10!!2,10,classes!!3,10!!4,10,types!!5,10!",5
"ardwrd3","TDistn","Specify the type of spatial distribution in the stand","TDistn    !1,10!!2,10!!3,10!","",3
"ardwrd3","TimeDead","Changes the time since death for dead infected trees and stumps in the inventory.","TimeDead  !1,10!!2,10!!3,10!!4,10!!5,10!","",5
"ardwrd3","TTDMult","Change the time-to-death (time from root infection to death of the tree) multipliers for root disease mortality.","TTDMult   !1,10!!2,10!!3,10!!4,10!","",4
"ardwrd3","WindThr","Specify a windthrow event.","WindThr   !1,10!!2,10!!3,10!","",3
"armwrd3","BBClear","","","BBClear",1
"armwrd3","BBOut","","","BBOut",1
"armwrd3","BBType1","Specify a type 1 bark beetle outbreak.  A beetle outbreak of type 1 occurs when the density and diameter of trees of a given species exceed user-defined minimums;  at this point both root disease infected and uninfected trees in the stand may potentially be killed. Examples of type 1 bark beetles are mountain pine beetle (Dendroctonus ponderosae) on lodgepole pine and western pine beetle (D. brevicomis) on ponderosa pine.","","BBType1   !1,10!!3,10!!4,10!!5,10!!6,10!!2,10!",6
"armwrd3","BBType2","Specify a type 2 bark beetle outbreak.  A beetle outbreak of type 2 occurs when the number of windfallen trees/acre exceeds a user-defined minimum;  at this point both root disease infected and uninfected trees in the stand may potentially be killed. An example of a type 2 bark beetle is the Douglas-fir beetle (D. psuedotsugae) on Douglas-fir.","","BBType2   !1,10!!3,10!!4,10!!5,10!!6,10!!2,10!",6
"armwrd3","BBType3","Specify a type 3 bark beetle outbreak.  A beetle outbreak of type 3 occurs when the density of trees of a given species with a sufficient proportion of their root systems infected exceeds a user-defined minimum; at this point only trees infected by root disease may potentially be killed. An example of a type 3 bark beetle is fir engraver (Scolytus ventralis) on grand fir.","","BBType3   !1,10!!3,10!!4,10!!5,10!!6,10!!2,10!!7,10!",7
"armwrd3","BBType4","Specify a type 4 bark beetle outbreak.  A beetle outbreak of type 4 occurs when the density of trees of a given species with a sufficient proportion of their root systems infected exceeds a user-defined minimum; at this point trees infected or not infected by root disease may potentially be killed. An example of a type 4 bark beetle is mountain pine beetle on ponderosa pine (Dendroctonus ponderosae).","","BBType4   !1,10!!3,10!!4,10!!5,10!!6,10!!2,10!!7,10!
!8,10!!9,10!!10,10!",10
"armwrd3","DNSCalc","Alters the method by which the outbreak stand density threshold is computed for bark beetle type 1.  The default outbreak density is calculated by determining the trees/acre of all trees that exceed a user-defined minimum DBH. Note: If the SDI method is used to calculate the outbreak density threshod, then field 3 of the BBType1 keyword is no longer used for tree density calculation, but is still used to deternime which trees are subject to beetle attack.","DNSCalc   !1,10!!2,10!!3,10!!4,10!","",4
"armwrd3","InfColo","Modifies the proportion of root system which is colonized after death. The spread of root disease is assumed to reach a maximum amount within 5 years of tree death.","","InfColo   !1,10!!2,10!         3",2
"armwrd3","InfKill","Modify the proportion of the root system that must be infected before tree death occurs.","","InfKill            3!1,10!!2,10!",2
"armwrd3","InfMult","Change the probability of root disease transmission","","InfMult   !1,10!         3!2,10!!3,10!",3
"armwrd3","InfSims","Change the number of times to simulate the inside-center infection dynamics.  Print results of inside-center simulation.","","InfSims   !1,10!!2,10!        25
Open              25         0         3       132
!3!",3
"armwrd3","InocLife","Changes the default rate and patterns of decay of the inoculum in the infected roots of dead stumps and trees. An example for a 12 inch DBH infected dead tree (stump) using the default values above for both P-Type and S-Type Annosus root disease is: Annual decay rate of 1.2474 feet (decay = F1 * radius + F2 = 0.02212 * 2.0004 + 1.2032 = 1.2474) Root radius decay stalls at 2.0004 feet (radius = F3 *dbh + F4 = 0.1667 * 12 + 0.0 = 2.0004) Inoculum remains in stalled root radius for 24 years (years = F5 * dbh + F6 = 2.0 * 12 + 0.0 = 24.0) Stump and dead tree infected root system information is stored (and decayed) in five DBH size classes (upper boundaries of: 12"", 24"", 48"",  100"", >100"").","","InocLife  !1,10!!2,10!!3,10!!4,10!!5,10!!6,10!         3",6
"armwrd3","InocSpan","Specify the minimum life span of inoculum for Armillaria.","","InocSpan                      !1,10!",1
"armwrd3","PlotInf","Identifies which sub-plots are inside Armillaria root disease centers, and specifies the proportion of the trees in each plot which are infected.","","PlotInf            3
!1,4!!2,5!
!3,4!!4,5!
!5,4!!6,5!
!7,4!!8,5!
!9,4!!10,5!
!11,4!!12,5!
!13,4!!14,5!
!15,4!!16,5!
!17,4!!18,5!
!19,4!!20,5!
!21,4!!22,5!",22
"armwrd3","PlRead","","","PlRead             3
!1,4!
!2,4!
!3,4!
!4,4!
!5,4!
!6,4!
!7,4!
!8,4!
!9,4!
!10,4!
!11,4!",11
"armwrd3","PStump","Specify a stump pushing management action","PStump    !1,10!!2,10!!3,10!","",3
"armwrd3","RRComp","Modify the maximum size of the tree list.  Compression (of the tree list) will occur whenever the tree list length is about to exceed the user defined maximum or automatically at the default size (500).","RRComp    !1,10!","",1
"armwrd3","RREcho","Instructs the model to print machine readable output of the Root Disease Summary Table.","","Open              24         0         3       132
!1!
RREcho            24",1
"armwrd3","RRInit","Specifies the configuration of root disease centers.","","RRInit    !1,10!!2,10!!3,10!!4,10!!5,10!!6,10!         3",6
"armwrd3","RRJump","Specify the extent to which root disease centers will expand through uninfected trees when the stand is thinned or clearcut.","","RRJump                        !1,10!",1
"armwrd3","RRMinK","Change the time-to-death value (time from root infection until death of the tree) below which multipliers entered with the TTDMult keyword will not influence mortality.","","RRMink                        !1,10!",1
"armwrd3","RSeed","Change the random number generator seed value.","RSeed     !1,10!","",1
"armwrd3","SArea","Specify the stand area to be simulated.","SArea     !1,10!","",1
"armwrd3","SDIRMult","Modifies the calculation of root radius based on SDI.  The root radius is multiplied by a value between 0.5 and 1.5 that is calculate from a function of SDI.","SDIRMult  !1,10!!2,10!","",2
"armwrd3","SMCOut","Instructs the model to write a table of root disease center spread rates from the Monte Carlo Simulation to a seperate file.","","SMCout            26
Open              26         0         3       132
!1!",1
"armwrd3","Spread","Specify the type of spread model to be simulated","","Spread    !1,10!!2,10!!3,10!          !4,10!         3",4
"armwrd3","STRead","Initialize stumps within root disease areas of the stand.  These stumps will serve as inoculum sources from which infection will spread.","","STRead    !1,10!!2,10,classes!!3,10!         3!4,10!",4
"armwrd3","TDistn","Specify the type of spatial distribution in the stand","TDistn    !1,10!!2,10!!3,10!","",3
"armwrd3","TimeDead","Changes the time since death for dead infected trees and stumps in the inventory.","TimeDead    !1,10!!2,10!!3,10!!4,10!!5,10!","",5
"armwrd3","TTDMult","Change the time-to-death (time from root infection to death of the tree) multipliers for root disease mortality.","","TTDMult   !1,10!         3!2,10!!3,10!",3
"armwrd3","WindThr","Specify a windthrow event.","WindThr   !1,10!!2,10!!3,10!","",3
"base","AddFile","USAGE: Use the Open keyword, prior to this keyword, to Open the file refered to with the data set reference number. WARNING: When you used this keyword, you specify a number that refers to a data set that FVS will read.  System does not insure that the file is present nor that it contains correct FVS input.","AddFile   !1,10!","",1
"base","ATRTList","Prints a list of tree records representing stand conditions after a scheduled treatment to an output treelist file Do not use this keyword when using the R1 Existing Vegetation Classifier or Elk Hiding Cover post processors.","ATRTList  !1,10!!2,10!!3,10,header!","ATRTList  !1,10!!2,10!!3,10,header!",3
"base","BAIMult","BAIMult is a multiplier to change the large tree basal area increment prediction. This keyword remains in effect until replaced by a subsequent multiplier.","* Args: Species, Multiplier
BAIMult   !1,10!   Parms(!2!, !3!)\n","",3
"base","BAMax","BAMax modifies the maximum density for the stand and the mortality distribution pattern. NI, IE, KT, and CI maximum basal area are assigned by habitat type.  Default is for default habitat type (habitat type 260 for NI, IE, KT, and CI).","BAMax     !1,10!","",1
"base","BFDefect","Specifies species specific board foot volume defect corrections for board foot volume estimates.  In the eastern US this also specifies sawlog cubic foot volume defect.  Defect proportions are specified by species for the following five DBH's: 5, 10, 15, 20, 25+ inches.  A linear interpolation function calculates the defect proportion for the specified DBH of the tree. For each of the DBH classes, enter a defect correction proportion between 0 and 1.  For example, if the expected defect correction for a 5 inch tree was 35 percent, a value of .35 would be entered. For trees greater than 25 inches DBH, a constant value for defect correction is applied.","*Args: Species, 5"" defect, 10"", 15"", 20"", 25+""
BFDefect  !1,10!   Parms(!2!, !3!, !4!,     &
!5!, !6!, !7!)\n","",7
"base","BFFDLN","Enter the species specific parameters for log-linear form and defect correction equation for board foot volume estimates.  In the eastern US this also affects sawlog cubic foot volume.","BFFDLN    !1,10!!2,10!!3,10!","",3
"base","BFVolume","","BFVolume  !1,10!!2,10!!3,10!!4,10!!5,10!!6,10!!7,10,numbers!","BFVolume  !1,10!!2,10!!3,10!!4,10!!5,10!!6,10!!7,10,numbers!",7
"base","Volume","","Volume     !1,10!!2,10!!3,10!!4,10!!5,10!!6,10!!7,10,numbers!!8,10!!9,10!!10,10!","Volume    !1,10!!2,10!!3,10!!4,10!!5,10!!6,10!!7,10,numbers!!8,10!!9,10!!10,10!",10
"base","CCAdj","Adjusts the percent canopy cover (PCC) overlap correction coefficient for different non-random spatial distributions. The FVS-default overlap correction assumes randomly distributed trees (coefficient=1.0). This keyword remains in effect until a subsequent use of the keyword changes the overlap correction coefficient. Note: If this keyword is meant to correct for systematic bias, applying the overlap correction at inventory (leaving field 1 blank) will initialize the stand canopy cover with the specified overlap correction (field 2). If this keyword is used to change the distribution following a management or disturbance event, the scheduled year should be the same year as the event. Use the free form option if you have developed your own overlap correction and do not want to use the preset categories in the pull down menu. The reference range for the overlap correction is 0.1 – 5.0.","","CCAdj     !1,10!!2,10,dist1!",2
