"extension","keyword","field","widget","label","default","min","max","options","variant_defaults"
"armwrd3","PlotInf",5,"intNumberBox","3) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PlotInf",6,"intNumberBox","3) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"armwrd3","PlotInf",7,"intNumberBox","4) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PlotInf",8,"intNumberBox","4) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"armwrd3","PlotInf",9,"intNumberBox","5) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PlotInf",10,"intNumberBox","5) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"armwrd3","PlotInf",11,"intNumberBox","6) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PlotInf",12,"intNumberBox","6) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"armwrd3","PlotInf",13,"intNumberBox","7) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PlotInf",14,"intNumberBox","7) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"armwrd3","PlotInf",15,"intNumberBox","8) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PlotInf",16,"intNumberBox","8) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"armwrd3","PlotInf",17,"intNumberBox","9) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PlotInf",18,"intNumberBox","9) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"armwrd3","PlotInf",19,"intNumberBox","10) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PlotInf",20,"intNumberBox","10) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"armwrd3","PlotInf",21,"intNumberBox","11) Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PlotInf",22,"intNumberBox","11) Enter proportion of trees in plot infected","blank 0.0 1.0",NA,NA,"",""
"armwrd3","PlRead",1,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PlRead",2,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PlRead",3,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PlRead",4,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PlRead",5,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PlRead",6,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PlRead",7,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PlRead",8,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PlRead",9,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PlRead",10,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PlRead",11,"intNumberBox","Enter diseased sub-plot number","blank -999 9999",NA,NA,"",""
"armwrd3","PStump",1,"scheduleBox","","",NA,NA,"",""
"armwrd3","PStump",2,"sliderBox","Proportion of stumps to be removed","1",0,1,"",""
"armwrd3","PStump",3,"sliderBox","Minimum stump diameter (inches) for stump pushing","0",0,100,"",""
"armwrd3","RRComp",1,"intSliderBox","Number of records to which tree list is compressed","400",1,500,"",""
"armwrd3","RREcho",1,"longTextEdit","Name of file","",NA,NA,"",""
"armwrd3","RRInit",1,"longListButton","\
Disease center configuration","Disease centers randomly distributed",NA,NA,"Disease centers randomly distributed|Disease centers placed using supplemental records",""
"armwrd3","RRInit",2,"intNumberBox","Number of root disease centers to be located in the stand","20 1 100",NA,NA,"",""
"armwrd3","RRInit",3,"intNumberBox","Number of infected trees/arcre in the root disease centers","blank 1 100000",NA,NA,"",""
"armwrd3","RRInit",4,"intNumberBox","Number of uninfected trees/arcre in the root disease centers","blank 1 100000",NA,NA,"",""
"armwrd3","RRInit",5,"sliderBox","Average proportion of root infection","0.1",0,1,"",""
"armwrd3","RRInit",6,"numberBox","Total root disease area (acres)","blank 0 100000",NA,NA,"",""
"armwrd3","RRJump",1,"numberBox","Average root-system diameter multiplier for Armillaria","1.0 0.0 1000.0",NA,NA,"",""
"armwrd3","RRMinK",1,"intSliderBox","Time to death in years for Armillaria","0",0,100,"",""
"armwrd3","RSeed",1,"intNumberBox","Random number generator seed value","889347",NA,NA,"",""
"armwrd3","SArea",1,"numberBox","Stand area in acres","100 0 100000",NA,NA,"",""
"armwrd3","SDIRMult",1,"intSliderBox","The ""normal"" SDI (SDI at which the multiplier is 1)","369",0,1000,"",""
"armwrd3","SDIRMult",2,"intSliderBox","Slope of the relationship between SDI and multiplier","-0.0033",-10,10,"",""
"armwrd3","SMCOut",1,"longTextEdit","Name of file","",NA,NA,"",""
"armwrd3","Spread",1,"scheduleBox","","",NA,NA,"",""
"armwrd3","Spread",2,"longListButton","Type of spread model","Static spread model",NA,NA,"Static spread model|Dynamic spread model, different spread rates for each center|Dynamic spread model, average spread rate for each center",""
"armwrd3","Spread",3,"sliderBox","Static spread rate; Fixed annual spread rate for Laminated Root Rot","1",0,10,"",""
"armwrd3","Spread",4,"intSliderBox","Number of times to simulate the Monte Carlo spread model","1",1,50,"",""
"armwrd3","STRead",1,"speciesSelection","Tree species of stump","deleteAll",NA,NA,"",""
"armwrd3","STRead",2,"longListButton","\
Stump diameter class","0.0 to  12.0 inches",NA,NA,"0.0 to  12.0 inches|12.1 to  24.0 inches|24.1 to  48.0 inches|48.1 to 100.0 inches|larger than 100.0 inches",""
"armwrd3","STRead",3,"intNumberBox","Number of stumps of given species and diameter class","blank,1,100000",NA,NA,"",""
"armwrd3","STRead",4,"intSliderBox","Number of years since death","0",0,20,"",""
"armwrd3","TDistn",1,"intNumberBox","Year in which distribution changes to other type","0",NA,NA,"",""
"armwrd3","TDistn",2,"listButton","Current tree spatial distribution","Random tree distribution",NA,NA,"Random tree distribution|Gridded tree spacing",""
"armwrd3","TDistn",3,"numberBox","Standard deviation of mean distance between trees","1.0",NA,NA,"",""
"armwrd3","TimeDead",1,"intSliderBox","Number of years since death for size class  0-12""","5",0,20,"",""
"armwrd3","TimeDead",2,"intSliderBox","Number of years since death for size class 12-24""","10",0,20,"",""
